country_name,type,position,artist,title,streams,streams_change,total
Global,daily,33,Bad Bunny,BAILE INoLVIDABLE,"2273628,0","41302,0","1068535138,0"
Global,daily,34,Prince,Purple Rain,"2268028,0","-9206,0","16543933,0"
Global,daily,35,A$AP Rocky,Punk Rocky,"2267195,0","0,0","3458296,0"
Global,daily,36,sombr,12 to 12,"2244818,0","-124463,0","362986130,0"
Global,daily,37,Billie Eilish,WILDFLOWER,"2221511,0","19405,0","1742562264,0"
Global,daily,38,Benson Boone,Beautiful Things,"2217883,0","78007,0","2680451966,0"
Global,daily,39,ROSALÃA,La Perla,"2212021,0","83499,0","159957390,0"
Global,daily,40,EsDeeKid,4 Raws,"2202145,0","116069,0","56432264,0"
Global,daily,41,Radiohead,Creep,"2198501,0","41947,0","1197245330,0"
Global,daily,42,Coldplay,Yellow,"2156303,0","154925,0","2775013422,0"
Global,daily,43,Drake,One Dance,"2099828,0","55975,0","2992433496,0"
Global,daily,44,Jimin,Who,"2091454,0","-667,0","2173883979,0"
Global,daily,45,ROSÃ,APT.,"2082856,0","190007,0","2168038051,0"
Global,daily,46,Idgitaf,Sedia Aku Sebelum Hujan,"2082221,0","22827,0","89565720,0"
Global,daily,47,Sabrina Carpenter,Espresso,"2081561,0","49693,0","2709828322,0"
Global,daily,48,Lord Huron,The Night We Met,"2076880,0","-40315,0","2356251312,0"
Global,daily,49,Bruno Mars,That's What I Like,"2062508,0","311602,0","1652428574,0"
Global,daily,50,Arctic Monkeys,I Wanna Be Yours,"2021929,0","-8516,0","2999507974,0"
Global,daily,51,Sabrina Carpenter,Manchild,"2021121,0","-6043,0","633635891,0"
Global,daily,52,DJ Snake,Let Me Love You,"2019155,0","-9474,0","1196094995,0"
Global,daily,53,Jin,Donât Say You Love Me,"2001763,0","-30273,0","788320198,0"
Global,daily,54,Gracie Abrams,Thatâs So True,"1997819,0","6866,0","1504436751,0"
Global,daily,55,W Sound,La Plena - W Sound 05,"1971500,0","291,0","892136764,0"
Global,daily,56,Bruno Mars,Locked out of Heaven,"1953217,0","309801,0","1860214180,0"
Global,daily,57,The Weeknd,Starboy,"1935290,0","70694,0","3498015794,0"
Global,daily,58,KATSEYE,Internet Girl,"1920009,0","-116414,0","16581225,0"
Global,daily,59,Teddy Swims,Lose Control,"1916648,0","75468,0","2189824706,0"
Global,daily,60,EsDeeKid,Phantom,"1886578,0","72096,0","98353347,0"
Global,daily,61,Fleetwood Mac,Dreams - 2004 Remaster,"1882137,0","141967,0","1180033735,0"
Global,daily,62,Lil Uzi Vert,What You Saying,"1875654,0","90862,0","13619763,0"
Global,daily,63,The Weeknd,Timeless,"1842520,0","-24092,0","1314403928,0"
Global,daily,64,The Weeknd,Blinding Lights,"1837859,0","126034,0","5140235854,0"
Global,daily,65,Coldplay,Sparks,"1836221,0","-11918,0","781649666,0"
Global,daily,66,Bruno Mars,Just the Way You Are,"1826892,0","364846,0","1560780716,0"
Global,daily,67,Zach Bryan,Plastic Cigarette,"1816776,0","0,0","1816776,0"
Global,daily,68,Peso Pluma,7-3,"1815343,0","165809,0","21447097,0"
Global,daily,69,The MarÃ­as,No One Noticed,"1806228,0","72997,0","772330127,0"
Global,daily,70,The Killers,Mr. Brightside,"1794878,0","-80412,0","1486533822,0"
Global,daily,71,Kehlani,Folded,"1792463,0","-112610,0","244083474,0"
Global,daily,72,sombr,undressed,"1749289,0","-76404,0","703170587,0"
Global,daily,73,PEDRO SAMPAIO,JETSKI,"1740012,0","133569,0","18753956,0"
Global,daily,74,Linkin Park,In the End,"1738107,0","71914,0","1326654109,0"
Global,daily,75,Neton Vega,Pvta Luna,"1725252,0","62130,0","81185490,0"
Global,daily,76,Ella Langley,Choosin' Texas,"1723697,0","37187,0","13040894,0"
Global,daily,77,Kendrick Lamar,All The Stars,"1689748,0","-61947,0","1725084730,0"
Global,daily,78,BeÃ©le,no tiene sentido,"1680562,0","-18056,0","412594963,0"
